level_band,level_int,l1,l2,l3,l3_terms,n_terms,open_ended,axis,scope,app_domain,state_framed,path,appears_in_levels,n_levels
2,2,基本信息,事件信息,事件、人物、时间、方式、地址、原因、变化、状态等,事件|人物|时间|方式|地址|原因|变化|状态,8,true,situation,scenario,일상,false,基本信息/事件信息/事件、人物、时间、方式、地址、原因、变化、状态等,2,1
2,2,基本信息,物品信息,名称、颜色、差别、数量、所在、特点等,名称|颜色|差别|数量|所在|特点,6,true,situation,scenario,일상,false,基本信息/物品信息/名称、颜色、差别、数量、所在、特点等,2,1
2,2,基本信息,环境信息,天气,天气,1,false,situation,scenario,일상,false,基本信息/环境信息/天气,1|2,2
2,2,基本信息,环境信息,环境特征,环境特征,1,false,situation,scenario,일상,false,基本信息/环境信息/环境特征,2,1
2,2,日常生活,交往,基本礼貌行为,基本礼貌行为,1,false,situation,scenario,일상,false,日常生活/交往/基本礼貌行为,1|2,2
2,2,日常生活,交往,简单互动行为,简单互动行为,1,false,situation,scenario,일상,false,日常生活/交往/简单互动行为,1|2,2
2,2,日常生活,交往,意愿感受,意愿感受,1,false,situation,scenario,일상,false,日常生活/交往/意愿感受,1|2|3,3
2,2,日常生活,饮食,食物饮品,食物饮品,1,false,situation,scenario,일상,false,日常生活/饮食/食物饮品,1|2|3|4,4
2,2,日常生活,饮食,饮食习惯,饮食习惯,1,false,situation,scenario,일상,false,日常生活/饮食/饮食习惯,2|3,2
2,2,日常生活,饮食,就餐,就餐,1,false,situation,scenario,일상,false,日常生活/饮食/就餐,1|2|3|4|5,5
2,2,日常生活,交通出行,问路,问路,1,false,situation,scenario,일상,false,日常生活/交通出行/问路,1|2,2
2,2,日常生活,交通出行,出行方式,出行方式,1,false,situation,scenario,일상,false,日常生活/交通出行/出行方式,1|2|3,3
2,2,日常生活,交通出行,出行安排,出行安排,1,false,situation,scenario,일상,false,日常生活/交通出行/出行安排,1|2|3,3
2,2,日常生活,交通出行,出行感受,出行感受,1,false,situation,scenario,일상,false,日常生活/交通出行/出行感受,2,1
2,2,日常生活,购物,商品选购,商品选购,1,false,situation,scenario,일상,false,日常生活/购物/商品选购,1|2|3|4|5,5
2,2,日常生活,购物,商品描述,商品描述,1,false,situation,scenario,일상,false,日常生活/购物/商品描述,2,1
2,2,日常生活,医疗健康,生病,生病,1,false,situation,scenario,일상,false,日常生活/医疗健康/生病,2|3,2
2,2,日常生活,医疗健康,就医,就医,1,false,situation,scenario,일상,false,日常生活/医疗健康/就医,2|3|4|5|6,5
2,2,日常生活,休闲,休闲活动,休闲活动,1,false,situation,scenario,일상,false,日常生活/休闲/休闲活动,1|2|3|4|5,5
2,2,日常生活,休闲,休闲安排,休闲安排,1,false,situation,scenario,일상,false,日常生活/休闲/休闲安排,2,1
2,2,日常生活,家庭生活,家庭关系,家庭关系,1,false,situation,scenario,일상,false,日常生活/家庭生活/家庭关系,2|3|4,3
2,2,日常生活,家庭生活,家庭活动,家庭活动,1,false,situation,scenario,일상,false,日常生活/家庭生活/家庭活动,2|5,2
2,2,教育情况,学习情况,基本情况,基本情况,1,false,situation,scenario,학교,false,教育情况/学习情况/基本情况,2,1
2,2,教育情况,学习情况,学习经历,学习经历,1,false,situation,scenario,학교,false,教育情况/学习情况/学习经历,2|3|4|5,4
2,2,教育情况,校园生活,学校情况,学校情况,1,false,situation,scenario,학교,false,教育情况/校园生活/学校情况,1|2|3|4|5|6,6
2,2,教育情况,校园生活,课后活动,课后活动,1,false,situation,scenario,학교,false,教育情况/校园生活/课后活动,1|2,2
2,2,职场生活,工作情况,工作信息,工作信息,1,false,situation,scenario,직장,false,职场生活/工作情况/工作信息,1|2,2
2,2,职场生活,工作情况,工作经历、工作感受,工作经历|工作感受,2,false,situation,scenario,직장,false,职场生活/工作情况/工作经历、工作感受,2,1
2,2,职场生活,职业,职业状况,职业状况,1,false,situation,scenario,직장,false,职场生活/职业/职业状况,2,1
2,2,文化与传统,传统习俗,节日,节日,1,false,subject,topic,,false,文化与传统/传统习俗/节日,2,1
2,2,文化与传统,饮食文化,中餐印象,中餐印象,1,false,subject,topic,,false,文化与传统/饮食文化/中餐印象,2,1
2,2,文化与传统,姓氏文化,主要姓氏、正式称谓等,主要姓氏|正式称谓,2,true,subject,topic,,false,文化与传统/姓氏文化/主要姓氏、正式称谓等,2,1
3,3,日常生活,个人情况,个人信息,个人信息,1,false,situation,scenario,일상,false,日常生活/个人情况/个人信息,3|4,2
3,3,日常生活,个人情况,个人特征,个人特征,1,false,situation,scenario,일상,false,日常生活/个人情况/个人特征,3|4,2
3,3,日常生活,日常事务,事务处理,事务处理,1,false,situation,scenario,일상,false,日常生活/日常事务/事务处理,3,1
3,3,日常生活,日常事务,业务办理,业务办理,1,false,situation,scenario,일상,false,日常生活/日常事务/业务办理,3|4|5|6,4
3,3,日常生活,交往,礼貌行为,礼貌行为,1,false,situation,scenario,일상,false,日常生活/交往/礼貌行为,3|4,2
3,3,日常生活,交往,意愿感受,意愿感受,1,false,situation,scenario,일상,false,日常生活/交往/意愿感受,1|2|3,3
3,3,日常生活,饮食,食物饮品,食物饮品,1,false,situation,scenario,일상,false,日常生活/饮食/食物饮品,1|2|3|4,4
3,3,日常生活,饮食,饮食习惯,饮食习惯,1,false,situation,scenario,일상,false,日常生活/饮食/饮食习惯,2|3,2
3,3,日常生活,饮食,就餐,就餐,1,false,situation,scenario,일상,false,日常生活/饮食/就餐,1|2|3|4|5,5
3,3,日常生活,交通出行,出行方式,出行方式,1,false,situation,scenario,일상,false,日常生活/交通出行/出行方式,1|2|3,3
3,3,日常生活,交通出行,出行安排,出行安排,1,false,situation,scenario,일상,false,日常生活/交通出行/出行安排,1|2|3,3
3,3,日常生活,交通出行,出行经历,出行经历,1,false,situation,scenario,일상,false,日常生活/交通出行/出行经历,3|4,2
3,3,日常生活,交通出行,交通规则,交通规则,1,false,situation,scenario,일상,false,日常生活/交通出行/交通规则,3,1
3,3,日常生活,购物,商品选购,商品选购,1,false,situation,scenario,일상,false,日常生活/购物/商品选购,1|2|3|4|5,5
3,3,日常生活,购物,购物经历,购物经历,1,false,situation,scenario,일상,false,日常生活/购物/购物经历,3,1
3,3,日常生活,医疗健康,生病,生病,1,false,situation,scenario,일상,false,日常生活/医疗健康/生病,2|3,2
3,3,日常生活,医疗健康,就医,就医,1,false,situation,scenario,일상,false,日常生活/医疗健康/就医,2|3|4|5|6,5
3,3,日常生活,医疗健康,探病,探病,1,false,situation,scenario,일상,false,日常生活/医疗健康/探病,3,1
3,3,日常生活,医疗健康,健康观念,健康观念,1,false,situation,scenario,일상,false,日常生活/医疗健康/健康观念,3,1
3,3,日常生活,休闲,休闲活动,休闲活动,1,false,situation,scenario,일상,false,日常生活/休闲/休闲活动,1|2|3|4|5,5
3,3,日常生活,休闲,活动体验,活动体验,1,false,situation,scenario,일상,false,日常生活/休闲/活动体验,3,1
3,3,日常生活,社区,居住情况,居住情况,1,false,situation,scenario,일상,false,日常生活/社区/居住情况,3|4|5|6,4
3,3,日常生活,家庭生活,生活习惯,生活习惯,1,false,situation,scenario,일상,false,日常生活/家庭生活/生活习惯,3|4,2
3,3,日常生活,家庭生活,家庭关系,家庭关系,1,false,situation,scenario,일상,false,日常生活/家庭生活/家庭关系,2|3|4,3
3,3,日常生活,家庭生活,家庭事务,家庭事务,1,false,situation,scenario,일상,false,日常生活/家庭生活/家庭事务,3|4,2
3,3,日常生活,家庭生活,居家生活,居家生活,1,false,situation,scenario,일상,false,日常生活/家庭生活/居家生活,3|4|5,3
3,3,教育情况,学习情况,课程情况,课程情况,1,false,situation,scenario,학교,false,教育情况/学习情况/课程情况,3|4|5|6,4
3,3,教育情况,学习情况,学习活动,学习活动,1,false,situation,scenario,학교,false,教育情况/学习情况/学习活动,3,1
3,3,教育情况,学习情况,学习环境,学习环境,1,false,situation,scenario,학교,false,教育情况/学习情况/学习环境,3,1
3,3,教育情况,学习情况,学习经历,学习经历,1,false,situation,scenario,학교,false,教育情况/学习情况/学习经历,2|3|4|5,4
3,3,教育情况,校园生活,校园活动,校园活动,1,false,situation,scenario,학교,false,教育情况/校园生活/校园活动,3|4|5|6,4
3,3,教育情况,校园生活,学校情况,学校情况,1,false,situation,scenario,학교,false,教育情况/校园生活/学校情况,1|2|3|4|5|6,6
3,3,教育情况,教育问题,家庭教育,家庭教育,1,false,situation,scenario,학교,false,教育情况/教育问题/家庭教育,3|4|5,3
3,3,职场生活,日常办公,办公事务,办公事务,1,false,situation,scenario,직장,false,职场生活/日常办公/办公事务,3|4,2
3,3,职场生活,日常办公,工作表现,工作表现,1,false,situation,scenario,직장,false,职场生活/日常办公/工作表现,3|4,2
3,3,职场生活,日常办公,工作环境,工作环境,1,false,situation,scenario,직장,false,职场生活/日常办公/工作环境,3,1
3,3,职场生活,日常办公,同事相处,同事相处,1,false,situation,scenario,직장,false,职场生活/日常办公/同事相处,3,1
3,3,职场生活,职业与经历,工作经历,工作经历,1,false,situation,scenario,직장,false,职场生活/职业与经历/工作经历,3|4|5,3
3,3,职场生活,职业与经历,职业评价,职业评价,1,false,situation,scenario,직장,false,职场生活/职业与经历/职业评价,3,1
3,3,自然与环境,自然,气候,气候,1,false,subject,topic,,false,自然与环境/自然/气候,3|4,2
3,3,自然与环境,自然,季节,季节,1,false,subject,topic,,false,自然与环境/自然/季节,3,1
3,3,自然与环境,自然,动植物,动植物,1,false,subject,topic,,false,自然与环境/自然/动植物,3|4|5|6,4
3,3,自然与环境,自然,自然风景,自然风景,1,false,subject,topic,,false,自然与环境/自然/自然风景,3,1
3,3,自然与环境,环境,环境状况,环境状况,1,false,subject,topic,,false,自然与环境/环境/环境状况,3|4,2
3,3,自然与环境,环境,环境保护,环境保护,1,false,subject,topic,,false,自然与环境/环境/环境保护,3|4|5|6,4
3,3,当代社会,社会情况,现代生活,现代生活,1,false,subject,topic,,false,当代社会/社会情况/现代生活,3,1
3,3,当代社会,社会情况,城市发展,城市发展,1,false,subject,topic,,false,当代社会/社会情况/城市发展,3,1
3,3,当代社会,文艺,文艺活动,文艺活动,1,false,subject,topic,,false,当代社会/文艺/文艺活动,3|4|5|6,4
3,3,当代社会,体育,运动项目,运动项目,1,false,subject,topic,,false,当代社会/体育/运动项目,3|4|5|6,4
3,3,当代社会,体育,体育比赛,体育比赛,1,false,subject,topic,,false,当代社会/体育/体育比赛,3|4,2
3,3,文化与传统,饮食文化,特色饮食,特色饮食,1,false,subject,topic,,false,文化与传统/饮食文化/特色饮食,3,1
3,3,文化与传统,饮食文化,餐具,餐具,1,false,subject,topic,,false,文化与传统/饮食文化/餐具,3,1
3,3,文化与传统,风俗传统,传统节日与习俗,传统节日与习俗,1,false,subject,topic,,false,文化与传统/风俗传统/传统节日与习俗,3,1
3,3,文化与传统,风俗传统,地区差异,地区差异,1,false,subject,topic,,false,文化与传统/风俗传统/地区差异,3,1
4,4,日常生活,个人情况,个人信息,个人信息,1,false,situation,scenario,일상,false,日常生活/个人情况/个人信息,3|4,2
4,4,日常生活,个人情况,个人特征,个人特征,1,false,situation,scenario,일상,false,日常生活/个人情况/个人特征,3|4,2
4,4,日常生活,日常事务,业务办理,业务办理,1,false,situation,scenario,일상,false,日常生活/日常事务/业务办理,3|4|5|6,4
4,4,日常生活,日常事务,困难求助,困难求助,1,false,situation,scenario,일상,false,日常生活/日常事务/困难求助,4|5|6,3
4,4,日常生活,交往,礼貌行为,礼貌行为,1,false,situation,scenario,일상,false,日常生活/交往/礼貌行为,3|4,2
4,4,日常生活,交往,情感,情感,1,false,situation,scenario,일상,false,日常生活/交往/情感,4,1
4,4,日常生活,交往,感悟,感悟,1,false,situation,scenario,일상,false,日常生活/交往/感悟,4,1
4,4,日常生活,饮食,食物饮品,食物饮品,1,false,situation,scenario,일상,false,日常生活/饮食/食物饮品,1|2|3|4,4
4,4,日常生活,饮食,就餐,就餐,1,false,situation,scenario,일상,false,日常生活/饮食/就餐,1|2|3|4|5,5
4,4,日常生活,饮食,做菜,做菜,1,false,situation,scenario,일상,false,日常生活/饮食/做菜,4,1
4,4,日常生活,交通出行,出行经历,出行经历,1,false,situation,scenario,일상,false,日常生活/交通出行/出行经历,3|4,2
4,4,日常生活,交通出行,交通,交通,1,false,situation,scenario,일상,false,日常生活/交通出行/交通,4,1
4,4,日常生活,购物,商品选购,商品选购,1,false,situation,scenario,일상,false,日常生活/购物/商品选购,1|2|3|4|5,5
4,4,日常生活,购物,购物体验,购物体验,1,false,situation,scenario,일상,false,日常生活/购物/购物体验,4,1
4,4,日常生活,购物,商家活动,商家活动,1,false,situation,scenario,일상,false,日常生活/购物/商家活动,4,1
4,4,日常生活,医疗健康,就医,就医,1,false,situation,scenario,일상,false,日常生活/医疗健康/就医,2|3|4|5|6,5
4,4,日常生活,医疗健康,健康生活,健康生活,1,false,situation,scenario,일상,false,日常生活/医疗健康/健康生活,4|5|6,3
4,4,日常生活,休闲,休闲活动,休闲活动,1,false,situation,scenario,일상,false,日常生活/休闲/休闲活动,1|2|3|4|5,5
4,4,日常生活,休闲,活动感受、看法等,活动感受|看法,2,true,situation,scenario,일상,false,日常生活/休闲/活动感受、看法等,4,1
4,4,日常生活,社区,居住情况,居住情况,1,false,situation,scenario,일상,false,日常生活/社区/居住情况,3|4|5|6,4
4,4,日常生活,社区,社区生活,社区生活,1,false,situation,scenario,일상,false,日常生活/社区/社区生活,4|5,2
4,4,日常生活,社区,房屋租赁与买卖,房屋租赁与买卖,1,false,situation,scenario,일상,false,日常生活/社区/房屋租赁与买卖,4,1
4,4,日常生活,家庭生活,居家生活,居家生活,1,false,situation,scenario,일상,false,日常生活/家庭生活/居家生活,3|4|5,3
4,4,日常生活,家庭生活,家庭关系,家庭关系,1,false,situation,scenario,일상,false,日常生活/家庭生活/家庭关系,2|3|4,3
4,4,日常生活,家庭生活,成长过程,成长过程,1,false,situation,scenario,일상,false,日常生活/家庭生活/成长过程,4,1
4,4,日常生活,家庭生活,生活习惯,生活习惯,1,false,situation,scenario,일상,false,日常生活/家庭生活/生活习惯,3|4,2
4,4,日常生活,家庭生活,家庭事务,家庭事务,1,false,situation,scenario,일상,false,日常生活/家庭生活/家庭事务,3|4,2
4,4,教育情况,学习情况,课程情况,课程情况,1,false,situation,scenario,학교,false,教育情况/学习情况/课程情况,3|4|5|6,4
4,4,教育情况,学习情况,教学情况,教学情况,1,false,situation,scenario,학교,false,教育情况/学习情况/教学情况,4|5|6,3
4,4,教育情况,学习情况,学习经历,学习经历,1,false,situation,scenario,학교,false,教育情况/学习情况/学习经历,2|3|4|5,4
4,4,教育情况,学习情况,学习心得,学习心得,1,false,situation,scenario,학교,false,教育情况/学习情况/学习心得,4|5,2
4,4,教育情况,校园生活,校园活动,校园活动,1,false,situation,scenario,학교,false,教育情况/校园生活/校园活动,3|4|5|6,4
4,4,教育情况,校园生活,学校情况,学校情况,1,false,situation,scenario,학교,false,教育情况/校园生活/学校情况,1|2|3|4|5|6,6
4,4,教育情况,教育问题,家庭教育,家庭教育,1,false,situation,scenario,학교,false,教育情况/教育问题/家庭教育,3|4|5,3
4,4,教育情况,教育问题,社会教育,社会教育,1,false,situation,scenario,학교,false,教育情况/教育问题/社会教育,4,1
4,4,职场生活,日常办公,办公事务,办公事务,1,false,situation,scenario,직장,false,职场生活/日常办公/办公事务,3|4,2
4,4,职场生活,日常办公,工作表现,工作表现,1,false,situation,scenario,직장,false,职场生活/日常办公/工作表现,3|4,2
4,4,职场生活,日常办公,职场交往,职场交往,1,false,situation,scenario,직장,false,职场生活/日常办公/职场交往,4,1
4,4,职场生活,职业与经历,工作经历,工作经历,1,false,situation,scenario,직장,false,职场生活/职业与经历/工作经历,3|4|5,3
4,4,职场生活,职业与经历,职业现状、职业评价,职业现状|职业评价,2,false,situation,scenario,직장,false,职场生活/职业与经历/职业现状、职业评价,4,1
4,4,职场生活,单位情况,人事管理,人事管理,1,false,situation,scenario,직장,false,职场生活/单位情况/人事管理,4,1
4,4,职场生活,单位情况,工作环境与待遇,工作环境与待遇,1,false,situation,scenario,직장,false,职场生活/单位情况/工作环境与待遇,4,1
4,4,自然与环境,自然,地理,地理,1,false,subject,topic,,false,自然与环境/自然/地理,4,1
4,4,自然与环境,自然,气候,气候,1,false,subject,topic,,false,自然与环境/自然/气候,3|4,2
4,4,自然与环境,自然,动植物,动植物,1,false,subject,topic,,false,自然与环境/自然/动植物,3|4|5|6,4
4,4,自然与环境,自然,自然景观,自然景观,1,false,subject,topic,,false,自然与环境/自然/自然景观,4,1
4,4,自然与环境,自然,自然现象,自然现象,1,false,subject,topic,,false,自然与环境/自然/自然现象,4|6,2
4,4,自然与环境,环境,环境状况,环境状况,1,false,subject,topic,,false,自然与环境/环境/环境状况,3|4,2
4,4,自然与环境,环境,环境保护,环境保护,1,false,subject,topic,,false,自然与环境/环境/环境保护,3|4|5|6,4
4,4,科学技术,科技发展,新技术运用,新技术运用,1,false,subject,topic,,false,科学技术/科技发展/新技术运用,4,1
4,4,科学技术,科学知识,科普知识,科普知识,1,false,subject,topic,,false,科学技术/科学知识/科普知识,4|5|6,3
4,4,科学技术,科学知识,科研成果,科研成果,1,false,subject,topic,,false,科学技术/科学知识/科研成果,4|5|6,3
4,4,当代社会,概况,首都、主要省市,首都|主要省市,2,false,subject,topic,,true,当代社会/概况/首都、主要省市,4,1
4,4,当代社会,概况,少数民族,少数民族,1,false,subject,topic,,true,当代社会/概况/少数民族,4,1
4,4,当代社会,经济现象,流行产品,流行产品,1,false,subject,topic,,false,当代社会/经济现象/流行产品,4,1
4,4,当代社会,经济现象,新商业形态,新商业形态,1,false,subject,topic,,false,当代社会/经济现象/新商业形态,4,1
4,4,当代社会,经济现象,经济状况,经济状况,1,false,subject,topic,,false,当代社会/经济现象/经济状况,4,1
4,4,当代社会,社会现象,生活观念,生活观念,1,false,subject,topic,,false,当代社会/社会现象/生活观念,4,1
4,4,当代社会,社会现象,网络生活,网络生活,1,false,subject,topic,,false,当代社会/社会现象/网络生活,4,1
4,4,当代社会,社会现象,基础设施,基础设施,1,false,subject,topic,,false,当代社会/社会现象/基础设施,4|5,2
4,4,当代社会,社会现象,流行事物,流行事物,1,false,subject,topic,,false,当代社会/社会现象/流行事物,4,1
4,4,当代社会,文艺,文艺形式,文艺形式,1,false,subject,topic,,false,当代社会/文艺/文艺形式,4|5|6,3
4,4,当代社会,文艺,文艺活动,文艺活动,1,false,subject,topic,,false,当代社会/文艺/文艺活动,3|4|5|6,4
4,4,当代社会,文艺,创作者及其作品,创作者及其作品,1,false,subject,topic,,false,当代社会/文艺/创作者及其作品,4|5|6,3
4,4,当代社会,体育,运动项目,运动项目,1,false,subject,topic,,false,当代社会/体育/运动项目,3|4|5|6,4
4,4,当代社会,体育,体育比赛,体育比赛,1,false,subject,topic,,false,当代社会/体育/体育比赛,3|4,2
4,4,当代社会,体育,体育名人、体育故事,体育名人|体育故事,2,false,subject,topic,,false,当代社会/体育/体育名人、体育故事,4|5,2
4,4,当代社会,中外交流,友好往来,友好往来,1,false,subject,topic,,true,当代社会/中外交流/友好往来,4,1
4,4,文化与传统,语言文字,俗语、名言等,俗语|名言,2,true,subject,topic,,false,文化与传统/语言文字/俗语、名言等,4,1
4,4,文化与传统,饮食文化,传统饮食观念,传统饮食观念,1,false,subject,topic,,false,文化与传统/饮食文化/传统饮食观念,4,1
4,4,文化与传统,饮食文化,各地饮食、传统店铺、品牌等,各地饮食|传统店铺|品牌,3,true,subject,topic,,false,文化与传统/饮食文化/各地饮食、传统店铺、品牌等,4,1
4,4,文化与传统,民俗传统,传统节日与习俗,传统节日与习俗,1,false,subject,topic,,false,文化与传统/民俗传统/传统节日与习俗,4|5|6,3
4,4,文化与传统,民俗传统,国粹,国粹,1,false,subject,topic,,false,文化与传统/民俗传统/国粹,4,1
4,4,文化与传统,民俗传统,各地传统,各地传统,1,false,subject,topic,,false,文化与传统/民俗传统/各地传统,4,1
4,4,文化与传统,民俗传统,人际交往礼仪,人际交往礼仪,1,false,subject,topic,,false,文化与传统/民俗传统/人际交往礼仪,4,1
4,4,文化与传统,人文景观,名胜古迹等,名胜古迹,1,true,subject,topic,,false,文化与传统/人文景观/名胜古迹等,4,1
4,4,文化与传统,历史,历史人物、历史事件,历史人物|历史事件,2,false,subject,topic,,false,文化与传统/历史/历史人物、历史事件,4|5,2
5,5,日常生活,日常事务,业务办理,业务办理,1,false,situation,scenario,일상,false,日常生活/日常事务/业务办理,3|4|5|6,4
5,5,日常生活,日常事务,困难求助,困难求助,1,false,situation,scenario,일상,false,日常生活/日常事务/困难求助,4|5|6,3
5,5,日常生活,饮食,就餐,就餐,1,false,situation,scenario,일상,false,日常生活/饮食/就餐,1|2|3|4|5,5
5,5,日常生活,饮食,餐饮体验,餐饮体验,1,false,situation,scenario,일상,false,日常生活/饮食/餐饮体验,5|6,2
5,5,日常生活,交通出行,交通运输,交通运输,1,false,situation,scenario,일상,false,日常生活/交通出行/交通运输,5,1
5,5,日常生活,交通出行,出行体验,出行体验,1,false,situation,scenario,일상,false,日常生活/交通出行/出行体验,5|6,2
5,5,日常生活,购物,商品选购,商品选购,1,false,situation,scenario,일상,false,日常生活/购物/商品选购,1|2|3|4|5,5
5,5,日常生活,购物,消费活动,消费活动,1,false,situation,scenario,일상,false,日常生活/购物/消费活动,5,1
5,5,日常生活,医疗健康,就医,就医,1,false,situation,scenario,일상,false,日常生活/医疗健康/就医,2|3|4|5|6,5
5,5,日常生活,医疗健康,心理健康,心理健康,1,false,situation,scenario,일상,false,日常生活/医疗健康/心理健康,5,1
5,5,日常生活,医疗健康,健康生活,健康生活,1,false,situation,scenario,일상,false,日常生活/医疗健康/健康生活,4|5|6,3
5,5,日常生活,休闲,休闲活动,休闲活动,1,false,situation,scenario,일상,false,日常生活/休闲/休闲活动,1|2|3|4|5,5
5,5,日常生活,休闲,活动感受、生活随感、人生感悟等,活动感受|生活随感|人生感悟,3,true,situation,scenario,일상,false,日常生活/休闲/活动感受、生活随感、人生感悟等,5,1
5,5,日常生活,社区,居住情况,居住情况,1,false,situation,scenario,일상,false,日常生活/社区/居住情况,3|4|5|6,4
5,5,日常生活,社区,社区管理,社区管理,1,false,situation,scenario,일상,false,日常生活/社区/社区管理,5|6,2
5,5,日常生活,社区,社区生活,社区生活,1,false,situation,scenario,일상,false,日常生活/社区/社区生活,4|5,2
5,5,日常生活,家庭生活,居家生活,居家生活,1,false,situation,scenario,일상,false,日常生活/家庭生活/居家生活,3|4|5,3
5,5,日常生活,家庭生活,家庭活动,家庭活动,1,false,situation,scenario,일상,false,日常生活/家庭生活/家庭活动,2|5,2
5,5,日常生活,家庭生活,家庭问题,家庭问题,1,false,situation,scenario,일상,false,日常生活/家庭生活/家庭问题,5,1
5,5,教育情况,学习情况,课程情况,课程情况,1,false,situation,scenario,학교,false,教育情况/学习情况/课程情况,3|4|5|6,4
5,5,教育情况,学习情况,教学情况,教学情况,1,false,situation,scenario,학교,false,教育情况/学习情况/教学情况,4|5|6,3
5,5,教育情况,学习情况,学习经历,学习经历,1,false,situation,scenario,학교,false,教育情况/学习情况/学习经历,2|3|4|5,4
5,5,教育情况,学习情况,学习心得,学习心得,1,false,situation,scenario,학교,false,教育情况/学习情况/学习心得,4|5,2
5,5,教育情况,校园生活,校园活动,校园活动,1,false,situation,scenario,학교,false,教育情况/校园生活/校园活动,3|4|5|6,4
